Name,Card Type,Type,Set,Image,Rarity
Absol G,Pokemon,Darkness,Supreme Victors,https://assets.tcgdex.net/en/pl/pl3/1/high.png,Rare Holo
Caterpie,Pokemon,Grass,Flashfire,https://assets.tcgdex.net/en/xy/xy2/1/high.png,Common
Charizard,Pokemon,Fire,Arceus,https://assets.tcgdex.net/en/pl/pl4/1/high.png,Rare Holo
Chikorita,Pokemon,Grass,BREAKpoint,https://assets.tcgdex.net/en/xy/xy9/1/high.png,Common
Arcanine,Pokemon,Fire,Rising Rivals,https://assets.tcgdex.net/en/pl/pl2/1/high.png,Rare Holo
Venusaur EX,Pokemon,Grass,XY,https://assets.tcgdex.net/en/xy/xy1/1/high.png,Ultra Rare
Weedle,Pokemon,Grass,Kalos Starter Set,https://assets.tcgdex.net/en/xy/xy0/1/high.png,None
Venusaur,Pokemon,Grass,Pokémon Rumble,https://assets.tcgdex.net/en/pl/ru1/1/high.png,None
Weedle,Pokemon,Grass,Primal Clash,https://assets.tcgdex.net/en/xy/xy5/1/high.png,Common
Caterpie,Pokemon,Grass,Rebel Clash,https://assets.tcgdex.net/en/swsh/swsh2/1/high.png,Common
Venusaur EX,Pokemon,Grass,Generations,https://assets.tcgdex.net/en/xy/g1/1/high.png,Ultra Rare
Venonat,Pokemon,Grass,Phantom Forces,https://assets.tcgdex.net/en/xy/xy4/1/high.png,Common
Beedrill V,Pokemon,Grass,Astral Radiance,https://assets.tcgdex.net/en/swsh/swsh10/001/high.png,Holo Rare V
Venusaur EX,Pokemon,Grass,Evolutions,https://assets.tcgdex.net/en/xy/xy12/1/high.png,Ultra Rare
Bellsprout,Pokemon,Grass,Furious Fists,https://assets.tcgdex.net/en/xy/xy3/1/high.png,Common
Celebi V,Pokemon,Grass,Sword & Shield,https://assets.tcgdex.net/en/swsh/swsh1/1/high.png,Holo Rare V
Alakazam,Pokemon,Psychic,Base Set 2,https://assets.tcgdex.net/en/base/base4/1/high.png,Rare
Pikachu,Pokemon,Lightning,Wizards Black Star Promos,https://assets.tcgdex.net/en/base/basep/1/high.png,Common
Weedle,Pokemon,Grass,Vivid Voltage,https://assets.tcgdex.net/en/swsh/swsh4/1/high.png,Common
Aerodactyl,Pokemon,Fighting,Fossil,https://assets.tcgdex.net/en/base/base3/1/high.png,Rare
Dark Alakazam,Pokemon,Psychic,Team Rocket,https://assets.tcgdex.net/en/base/base5/1/high.png,Rare
Clefable,Pokemon,Colorless,Jungle,https://assets.tcgdex.net/en/base/base2/1/high.png,Rare
Weedle,Pokemon,Grass,Chilling Reign,https://assets.tcgdex.net/en/swsh/swsh6/1/high.png,Common
Ho-Oh,Pokemon,Fire,Celebrations,https://assets.tcgdex.net/en/swsh/cel25/1/high.png,Rare
Bulbasaur,Pokemon,Grass,Pokémon GO,https://assets.tcgdex.net/en/swsh/swsh10.5/001/high.png,Common
Bellsprout,Pokemon,Grass,Battle Styles,https://assets.tcgdex.net/en/swsh/swsh5/1/high.png,Common
Turtwig,Pokemon,Grass,Plasma Storm,https://assets.tcgdex.net/en/bw/bw8/1/high.png,Common
Caterpie,Pokemon,Grass,Fusion Strike,https://assets.tcgdex.net/en/swsh/swsh8/1/high.png,Common
Weedle,Pokemon,Grass,Plasma Freeze,https://assets.tcgdex.net/en/bw/bw9/1/high.png,Common
Pinsir,Pokemon,Grass,Evolving Skies,https://assets.tcgdex.net/en/swsh/swsh7/1/high.png,Rare
Hoppip,Pokemon,Grass,Dragons Exalted,https://assets.tcgdex.net/en/bw/bw6/1/high.png,Common
Venusaur V,Pokemon,Grass,Champion's Path,https://assets.tcgdex.net/en/swsh/swsh3.5/1/high.png,Holo Rare V
Bulbasaur,Pokemon,Grass,Dark Explorers,https://assets.tcgdex.net/en/bw/bw5/1/high.png,Common
Tangela,Pokemon,Grass,Legendary Treasures,https://assets.tcgdex.net/en/bw/bw11/1/high.png,Common
Yanma,Pokemon,Grass,Shining Fates,https://assets.tcgdex.net/en/swsh/swsh4.5/1/high.png,Common
Pansage,Pokemon,Grass,Emerging Powers,https://assets.tcgdex.net/en/bw/bw2/1/high.png,Common
Surskit,Pokemon,Grass,Plasma Blast,https://assets.tcgdex.net/en/bw/bw10/1/high.png,Common
Venonat,Pokemon,Grass,Silver Tempest,https://assets.tcgdex.net/en/swsh/swsh12/001/high.png,Common
Sewaddle,Pokemon,Grass,Noble Victories,https://assets.tcgdex.net/en/bw/bw3/1/high.png,Common
Blaine's Moltres,Pokemon,Fire,Gym Heroes,https://assets.tcgdex.net/en/gym/gym1/1/high.png,Rare Holo
Oddish,Pokemon,Grass,Lost Origin,https://assets.tcgdex.net/en/swsh/swsh11/001/high.png,Common
Blaine's Arcanine,Pokemon,Fire,Gym Challenge,https://assets.tcgdex.net/en/gym/gym2/1/high.png,Rare Holo
Ampharos,Pokemon,Lightning,Platinum,https://assets.tcgdex.net/en/pl/pl1/1/high.png,Rare Holo
Alakazam,Pokemon,Psychic,Legendary Collection,https://assets.tcgdex.net/en/lc/lc/1/high.png,Rare
Pinsir,Pokemon,Grass,Next Destinies,https://assets.tcgdex.net/en/bw/bw4/1/high.png,Rare
Clefable,Pokemon,Colorless,Call of Legends,https://assets.tcgdex.net/en/col/col1/1/high.png,Rare Holo
Deoxys Normal Forme,Pokemon,Psychic,Legends Awakened,https://assets.tcgdex.net/en/dp/dp6/1/high.png,Rare Holo
Dialga,Pokemon,Metal,Diamond & Pearl,https://assets.tcgdex.net/en/dp/dp1/1/high.png,Rare Holo
Blaziken,Pokemon,Fire,Great Encounters,https://assets.tcgdex.net/en/dp/dp4/1/high.png,Rare Holo
Exeggcute,Pokemon,Grass,Brilliant Stars,https://assets.tcgdex.net/en/swsh/swsh9/001/high.png,Common
Pikachu on the Ball,Pokemon,,Pokémon Futsal 2020,https://assets.tcgdex.net/en/swsh/fut2020/1/high.png,None
Aggron,Pokemon,Metal,Mysterious Treasures,https://assets.tcgdex.net/en/dp/dp2/1/high.png,Rare Holo
Ampharos,Pokemon,Lightning,Secret Wonders,https://assets.tcgdex.net/en/dp/dp3/1/high.png,Rare Holo
Butterfree V,Pokemon,Grass,Darkness Ablaze,https://assets.tcgdex.net/en/swsh/swsh3/1/high.png,Holo Rare V
Dusknoir,Pokemon,Psychic,Stormfront,https://assets.tcgdex.net/en/dp/dp7/1/high.png,Rare Holo
Articuno,Pokemon,Water,Majestic Dawn,https://assets.tcgdex.net/en/dp/dp5/1/high.png,Rare Holo
Oddish,Pokemon,Grass,Crown Zenith,https://assets.tcgdex.net/en/swsh/swsh12.5/001/high.png,Common
Snivy,Pokemon,Grass,Black & White,https://assets.tcgdex.net/en/bw/bw1/1/high.png,Common
Oddish,Pokemon,Grass,Boundaries Crossed,https://assets.tcgdex.net/en/bw/bw7/1/high.png,Common
Arcanine,Pokemon,Fire,Aquapolis,https://assets.tcgdex.net/en/ecard/ecard2/2/high.png,Rare
Alakazam,Pokemon,Psychic,Skyridge,https://assets.tcgdex.net/en/ecard/ecard3/2/high.png,Rare
Ampharos,Pokemon,Lightning,Expedition Base Set,https://assets.tcgdex.net/en/ecard/ecard1/2/high.png,Rare
Team Aqua's Crawdaunt,Pokemon,"Water,darkness",Team Magma vs Team Aqua,https://assets.tcgdex.net/en/ex/ex4/2/high.png,Rare
Ariados,Pokemon,Grass,Unseen Forces,https://assets.tcgdex.net/en/ex/ex10/2/high.png,Rare
Blastoise δ,Pokemon,"Fighting,metal",Crystal Guardians,https://assets.tcgdex.net/en/ex/ex14/2/high.png,Rare
Butterfree,Pokemon,Grass,FireRed & LeafGreen,https://assets.tcgdex.net/en/ex/ex6/2/high.png,Rare
Dark Ampharos,Pokemon,"Lightning,darkness",Team Rocket Returns,https://assets.tcgdex.net/en/ex/ex7/2/high.png,Rare
Aggron,Pokemon,Metal,Legend Maker,https://assets.tcgdex.net/en/ex/ex12/2/high.png,Rare
Cacturne,Pokemon,Grass,Sandstorm,https://assets.tcgdex.net/en/ex/ex2/2/high.png,Rare
Deoxys,Pokemon,Psychic,Emerald,https://assets.tcgdex.net/en/ex/ex9/2/high.png,Rare
Beautifly,Pokemon,Grass,Deoxys,https://assets.tcgdex.net/en/ex/ex8/2/high.png,Rare
Claydol,Pokemon,Psychic,Hidden Legends,https://assets.tcgdex.net/en/ex/ex5/2/high.png,Rare
Altaria,Pokemon,Colorless,Power Keepers,https://assets.tcgdex.net/en/ex/ex16/2/high.png,Rare
Beautifly,Pokemon,Grass,Ruby & Sapphire,https://assets.tcgdex.net/en/ex/ex1/2/high.png,Rare
Crobat δ,Pokemon,"Grass,metal",Delta Species,https://assets.tcgdex.net/en/ex/ex11/2/high.png,Rare
Cradily δ,Pokemon,"Darkness,metal",Holon Phantoms,https://assets.tcgdex.net/en/ex/ex13/2/high.png,Rare
Feraligatr δ,Pokemon,Lightning,Dragon Frontiers,https://assets.tcgdex.net/en/ex/ex15/2/high.png,Rare
Altaria,Pokemon,Colorless,Dragon,https://assets.tcgdex.net/en/ex/ex3/2/high.png,Rare
Heracross,Pokemon,Grass,Scarlet & Violet,https://assets.tcgdex.net/en/sv/sv01/002/high.png,Uncommon
Ivysaur,Pokemon,Grass,151,https://assets.tcgdex.net/en/sv/sv03.5/002/high.png,Uncommon
Galvantula,Pokemon,Grass,Shrouded Fable,https://assets.tcgdex.net/en/sv/sv06.5/002/high.png,Uncommon
Pineco,Pokemon,Grass,Temporal Forces,https://assets.tcgdex.net/en/sv/sv05/002/high.png,Common
Gloom,Pokemon,Grass,Obsidian Flames,https://assets.tcgdex.net/en/sv/sv03/002/high.png,Common
Blissey,Pokemon,Colorless,Neo Revelation,https://assets.tcgdex.net/en/neo/neo3/2/high.png,Rare
Forretress ex,Pokemon,Grass,Paldean Fates,https://assets.tcgdex.net/en/sv/sv04.5/002/high.png,Double rare
Forretress,Pokemon,Metal,Neo Discovery,https://assets.tcgdex.net/en/neo/neo2/2/high.png,Rare
Pidgeot,Pokemon,Colorless,Southern Islands,https://assets.tcgdex.net/en/neo/si1/2/high.png,Common
Azumarill,Pokemon,Water,Neo Genesis,https://assets.tcgdex.net/en/neo/neo1/2/high.png,Rare
Dark Crobat,Pokemon,Grass,Neo Destiny,https://assets.tcgdex.net/en/neo/neo4/2/high.png,Rare
Skiploom,Pokemon,Grass,Paldea Evolved,https://assets.tcgdex.net/en/sv/sv02/002/high.png,Uncommon
Alolan Exeggutor,Pokemon,Grass,Forbidden Light,https://assets.tcgdex.net/en/sm/sm6/2/high.png,Rare
Masquerain,Pokemon,Grass,Paradox Rift,https://assets.tcgdex.net/en/sv/sv04/002/high.png,Uncommon
Weepinbell,Pokemon,Grass,Celestial Storm,https://assets.tcgdex.net/en/sm/sm7/2/high.png,Uncommon
Metapod,Pokemon,Grass,Hidden Fates,https://assets.tcgdex.net/en/sm/sm115/2/high.png,Uncommon
Tangrowth,Pokemon,Grass,Twilight Masquerade,https://assets.tcgdex.net/en/sv/sv06/002/high.png,Common
Metapod,Pokemon,Grass,Burning Shadows,https://assets.tcgdex.net/en/sm/sm3/2/high.png,Uncommon
Tangrowth,Pokemon,Grass,Lost Thunder,https://assets.tcgdex.net/en/sm/sm8/2/high.png,Rare
Azumarill,Pokemon,Water,HeartGold SoulSilver,https://assets.tcgdex.net/en/hgss/hgss1/2/high.png,Rare Holo
Kakuna,Pokemon,Grass,Crimson Invasion,https://assets.tcgdex.net/en/sm/sm4/2/high.png,Uncommon
Espeon,Pokemon,Psychic,Undaunted,https://assets.tcgdex.net/en/hgss/hgss3/2/high.png,Rare Holo
Magmortar,Pokemon,Fire,Unleashed,https://assets.tcgdex.net/en/hgss/hgss2/2/high.png,Rare Holo
Caterpie,Pokemon,Grass,Unbroken Bonds,https://assets.tcgdex.net/en/sm/sm10/2/high.png,Common
Ludicolo,Pokemon,Grass,Detective Pikachu,https://assets.tcgdex.net/en/sm/det1/2/high.png,Rare
Altaria,Pokemon,Colorless,Triumphant,https://assets.tcgdex.net/en/hgss/hgss4/2/high.png,Rare Holo
Weepinbell,Pokemon,Grass,Guardians Rising,https://assets.tcgdex.net/en/sm/sm2/2/high.png,Uncommon
Yanma,Pokemon,Grass,Unified Minds,https://assets.tcgdex.net/en/sm/sm11/2/high.png,Common
Oddish,Pokemon,Grass,Cosmic Eclipse,https://assets.tcgdex.net/en/sm/sm12/2/high.png,Common
Metapod,Pokemon,Grass,Sun & Moon,https://assets.tcgdex.net/en/sm/sm1/2/high.png,Uncommon
Blastoise,Pokemon,Water,Base Set,https://assets.tcgdex.net/en/base/base1/2/high.png,Rare
Weedle,Pokemon,Grass,Team Up,https://assets.tcgdex.net/en/sm/sm9/2/high.png,Common
Gallade,Pokemon,Fighting,POP Series 7,https://assets.tcgdex.net/en/pop/pop7/2/high.png,Rare
Manaphy,Pokemon,Water,POP Series 9,https://assets.tcgdex.net/en/pop/pop9/2/high.png,Rare
Deoxys δ,Pokemon,Colorless,POP Series 4,https://assets.tcgdex.net/en/pop/pop4/2/high.png,Rare
Groudon ex,Pokemon,Fighting,Nintendo Black Star Promos,https://assets.tcgdex.net/en/pop/np/2/high.png,Common
Yanma,Pokemon,Grass,Ultra Prism,https://assets.tcgdex.net/en/sm/sm5/2/high.png,Common
Lucario,Pokemon,Fighting,POP Series 8,https://assets.tcgdex.net/en/pop/pop8/2/high.png,Rare
Lucario,Pokemon,Fighting,POP Series 6,https://assets.tcgdex.net/en/pop/pop6/2/high.png,Rare
Exeggutor,Pokemon,Grass,Roaring Skies,https://assets.tcgdex.net/en/xy/xy6/2/high.png,Uncommon
Flareon,Pokemon,Fire,POP Series 3,https://assets.tcgdex.net/en/pop/pop3/2/high.png,Rare
Lugia,Pokemon,Psychic,POP Series 5,https://assets.tcgdex.net/en/pop/pop5/2/high.png,Rare
Metagross,Pokemon,Metal,POP Series 1,https://assets.tcgdex.net/en/pop/pop1/2/high.png,Rare
Gloom,Pokemon,Grass,Ancient Origins,https://assets.tcgdex.net/en/xy/xy7/2/high.png,Uncommon
Pidgeot,Pokemon,Colorless,POP Series 2,https://assets.tcgdex.net/en/pop/pop2/2/high.png,Rare
Burmy,Pokemon,Grass,Fates Collide,https://assets.tcgdex.net/en/xy/xy10/2/high.png,Common
Parasect,Pokemon,Grass,BREAKthrough,https://assets.tcgdex.net/en/xy/xy8/2/high.png,Rare
Tangrowth,Pokemon,Grass,Steam Siege,https://assets.tcgdex.net/en/xy/xy11/2/high.png,Uncommon
Team Magma's Camerupt,Pokemon,Fire,Double Crisis,https://assets.tcgdex.net/en/xy/dc1/2/high.png,Rare
Blaziken FB,Pokemon,Fire,Supreme Victors,https://assets.tcgdex.net/en/pl/pl3/2/high.png,Rare Holo
Metapod,Pokemon,Grass,Flashfire,https://assets.tcgdex.net/en/xy/xy2/2/high.png,Uncommon
Froslass,Pokemon,Water,Arceus,https://assets.tcgdex.net/en/pl/pl4/2/high.png,Rare Holo
Bayleef,Pokemon,Grass,BREAKpoint,https://assets.tcgdex.net/en/xy/xy9/2/high.png,Uncommon
Bastiodon GL,Pokemon,Metal,Rising Rivals,https://assets.tcgdex.net/en/pl/pl2/2/high.png,Rare Holo
M Venusaur EX,Pokemon,Grass,XY,https://assets.tcgdex.net/en/xy/xy1/2/high.png,Ultra Rare
Pansage,Pokemon,Grass,Kalos Starter Set,https://assets.tcgdex.net/en/xy/xy0/2/high.png,None
Cherrim,Pokemon,Grass,Pokémon Rumble,https://assets.tcgdex.net/en/pl/ru1/2/high.png,None
Kakuna,Pokemon,Grass,Primal Clash,https://assets.tcgdex.net/en/xy/xy5/2/high.png,Uncommon
Metapod,Pokemon,Grass,Rebel Clash,https://assets.tcgdex.net/en/swsh/swsh2/2/high.png,Uncommon
M Venusaur EX,Pokemon,Grass,Generations,https://assets.tcgdex.net/en/xy/g1/2/high.png,Ultra Rare
Venomoth,Pokemon,Grass,Phantom Forces,https://assets.tcgdex.net/en/xy/xy4/2/high.png,Rare
Hisuian Voltorb,Pokemon,Grass,Astral Radiance,https://assets.tcgdex.net/en/swsh/swsh10/002/high.png,Common
M Venusaur EX,Pokemon,Grass,Evolutions,https://assets.tcgdex.net/en/xy/xy12/2/high.png,Ultra Rare
Weepinbell,Pokemon,Grass,Furious Fists,https://assets.tcgdex.net/en/xy/xy3/2/high.png,Uncommon
Roselia,Pokemon,Grass,Sword & Shield,https://assets.tcgdex.net/en/swsh/swsh1/2/high.png,Common
Blastoise,Pokemon,Water,Base Set 2,https://assets.tcgdex.net/en/base/base4/2/high.png,Rare
Electabuzz,Pokemon,Lightning,Wizards Black Star Promos,https://assets.tcgdex.net/en/base/basep/2/high.png,Common
Kakuna,Pokemon,Grass,Vivid Voltage,https://assets.tcgdex.net/en/swsh/swsh4/2/high.png,Uncommon
Articuno,Pokemon,Water,Fossil,https://assets.tcgdex.net/en/base/base3/2/high.png,Rare
Dark Arbok,Pokemon,Grass,Team Rocket,https://assets.tcgdex.net/en/base/base5/2/high.png,Rare
Electrode,Pokemon,Lightning,Jungle,https://assets.tcgdex.net/en/base/base2/2/high.png,Rare
Kakuna,Pokemon,Grass,Chilling Reign,https://assets.tcgdex.net/en/swsh/swsh6/2/high.png,Uncommon
Reshiram,Pokemon,Fire,Celebrations,https://assets.tcgdex.net/en/swsh/cel25/2/high.png,Rare
Ivysaur,Pokemon,Grass,Pokémon GO,https://assets.tcgdex.net/en/swsh/swsh10.5/002/high.png,Uncommon
Weepinbell,Pokemon,Grass,Battle Styles,https://assets.tcgdex.net/en/swsh/swsh5/2/high.png,Uncommon
Grotle,Pokemon,Grass,Plasma Storm,https://assets.tcgdex.net/en/bw/bw8/2/high.png,Uncommon
Metapod,Pokemon,Grass,Fusion Strike,https://assets.tcgdex.net/en/swsh/swsh8/2/high.png,Uncommon
Kakuna,Pokemon,Grass,Plasma Freeze,https://assets.tcgdex.net/en/bw/bw9/2/high.png,Uncommon
Hoppip,Pokemon,Grass,Evolving Skies,https://assets.tcgdex.net/en/swsh/swsh7/2/high.png,Common
Skiploom,Pokemon,Grass,Dragons Exalted,https://assets.tcgdex.net/en/bw/bw6/2/high.png,Uncommon
Weedle,Pokemon,Grass,Champion's Path,https://assets.tcgdex.net/en/swsh/swsh3.5/2/high.png,Common
Ivysaur,Pokemon,Grass,Dark Explorers,https://assets.tcgdex.net/en/bw/bw5/2/high.png,Uncommon
Tangrowth,Pokemon,Grass,Legendary Treasures,https://assets.tcgdex.net/en/bw/bw11/2/high.png,Rare
Yanmega,Pokemon,Grass,Shining Fates,https://assets.tcgdex.net/en/swsh/swsh4.5/2/high.png,Rare
Simisage,Pokemon,Grass,Emerging Powers,https://assets.tcgdex.net/en/bw/bw2/2/high.png,Rare
Masquerain,Pokemon,Grass,Plasma Blast,https://assets.tcgdex.net/en/bw/bw10/2/high.png,Rare
Venomoth,Pokemon,Grass,Silver Tempest,https://assets.tcgdex.net/en/swsh/swsh12/002/high.png,Uncommon
Swadloon,Pokemon,Grass,Noble Victories,https://assets.tcgdex.net/en/bw/bw3/2/high.png,Uncommon
Brock's Rhydon,Pokemon,Fighting,Gym Heroes,https://assets.tcgdex.net/en/gym/gym1/2/high.png,Rare Holo
Gloom,Pokemon,Grass,Lost Origin,https://assets.tcgdex.net/en/swsh/swsh11/002/high.png,Uncommon
Blaine's Charizard,Pokemon,Fire,Gym Challenge,https://assets.tcgdex.net/en/gym/gym2/2/high.png,Rare Holo
Blastoise,Pokemon,Water,Platinum,https://assets.tcgdex.net/en/pl/pl1/2/high.png,Rare Holo
Articuno,Pokemon,Water,Legendary Collection,https://assets.tcgdex.net/en/lc/lc/2/high.png,Rare
Seedot,Pokemon,Grass,Next Destinies,https://assets.tcgdex.net/en/bw/bw4/2/high.png,Common
Deoxys,Pokemon,Psychic,Call of Legends,https://assets.tcgdex.net/en/col/col1/2/high.png,Rare Holo
Dragonite,Pokemon,Colorless,Legends Awakened,https://assets.tcgdex.net/en/dp/dp6/2/high.png,Rare Holo
Dusknoir,Pokemon,Psychic,Diamond & Pearl,https://assets.tcgdex.net/en/dp/dp1/2/high.png,Rare Holo
